"","Bombus sp1 M_PL_020","Carposcalis carinata","Limnophyes sp1 M_PL_020","Rhamphomyia filicauda","Sciari sp1 M_PL_020","Smittia sp1 M_PL_020","Boreellus atriceps","Peleteria aenea","Smittia velutina","Dictyna borealis","Eupogonomyia groenlandica","Xysticus deichmanni","Anarta richardsoni","Boloria chariclea","Boloria polaris","Bryobia praetiosa","Colias hecla","Crymodes exulis","Lasiestra leucocycla","Metasyrphus chillcotti","Paraphaenocladius despectus","Periscepsia sp1 M_PL_020","Rhamphomyia sp1 M_PL_020","Scatophaga apicaulis","Stenomacrus sp1 M_PL_020","Tachinidae sp1 M_PL_020","Aedes sp1 M_PL_020","Calliphoridae sp1 M_PL_020","Ceratopogon sp1 M_PL_020","Fucellia pictipennis","Lycaena feildeni","Nematus sp1 M_PL_020","Olethreutes inquietana","Phalacrodira nigropilosa","Plebius aquilo","Pogonomyoides segnis","Rhamphomyia hoeli","Rhamphomyia sp2 M_PL_020","Spilogona dorsata","Spilogona sanctipauli","Unidentified sp1 M_PL_020","Unidentified sp2 M_PL_020","Unidentified sp3 M_PL_020","Acarina sp1 M_PL_020","Aedes impiger","Aedes nigripes","Allopiophila fulviceps","Apanteles sp1 M_PL_020","Arctoseius cetratus","Atractodes sp1 M_PL_020","Cecidophyes sp1 M_PL_020","Ceratopogon sp2 M_PL_020","Chalcidae sp1 M_PL_020","Corynoneura scutellata","Cricotopus sp1 M_PL_020","Cryptus arcticus","Culicoides sp1 M_PL_020","Dolichopus dasyops","Entomobrya comparata","Erigone pyschrophila","Forcipomyia sp1 M_PL_020","Helophilus borealis","Ichneumonidae sp1 M_PL_020","Lasiopiophila pilosa","Microspectra sp1 M_PL_020","Microspectra sp2 M_PL_020","Oresbius sp1 M_PL_020","Orthocladiinae sp1 M_PL_020","Pardosa glacialis","Pectinarctica stylata","Pegomyia sp1 M_PL_020","Phormia terraenovae","Phytomyza erigerontophaga","Procladius sp1 M_PL_020","Psectrocladius sp1 M_PL_020","Rhamphomyia ursinella","Saotis sp1 M_PL_020","Scatophaga multisetosa","Scatophaga sp1 M_PL_020","Spilogona denudata","Spilogona extensa","Spilogona melanosoma","Spilogona obsoleta","Spilogona tornensis","Spilogona tundrae","Sympistris labradoris","Tarentula exasperans","Tipula arctica","Tridymus sp1 M_PL_020","Unidentified sp4 M_PL_020","Unidentified sp5 M_PL_020"
"Stellaria longipes",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysimum pallasii",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saxifraga hirculus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassiope tetragona",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cerastium alpinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Draba sp1 M_PL_020",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erigeron compositus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erigeron eriocephalus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pedicularis capitata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranumculus sulphureus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
