,Augochlora semiramis,Apis mellifera,Astylus quadrilineatus,Toxomerus sp1 M_PL_072_02,Camponotus sp1 M_PL_072_02,Chilicola sp1 M_PL_072_02,Polybia scutellaris,Unidentified sp16 M_PL_072_02,Unidentified sp17 M_PL_072_02,Unidentified sp5 M_PL_072_02,Vanessa sp1 M_PL_072_02,Xylocopa ciliata,Chrysodina sp1 M_PL_072_02,Lucilia sericata,Unidentified sp21 M_PL_072_02,Allograpta sp1 M_PL_072_02,Augochlorella ephyra,Cochliomyia macellaria,Discodon sp2 M_PL_072_02,Palpada sp1 M_PL_072_02,Platycheirus sp1 M_PL_072_02,Unidentified sp14 M_PL_072_02,Unidentified sp2 M_PL_072_02,Unidentified sp8 M_PL_072_02,Augochloropsis sp1 M_PL_072_02,Chauliognathus scriptus,Discodon sp1 M_PL_072_02,Euptoieta claudia hortensia,Lerodea eufala,Panurgillus sp1 M_PL_072_02,Strymon eurytulus,Unidentified sp12 M_PL_072_02,Unidentified sp7 M_PL_072_02,Villa sp1 M_PL_072_02,Xylocopa augusti,Alophophion sp1 M_PL_072_02,Augochloropsis erato,Bombus bellicosus,Brachygastra lechiguana,Chauliognathus sp1 M_PL_072_02,Coelioxys sp1 M_PL_072_02,Corticea immocerina,Dactylozodes sp1 M_PL_072_02,Emesis russula,Libythea carinenta,Pampasatyrus gyrtone,Podagritus sp1 M_PL_072_02,Polistes sp1 M_PL_072_02,Pyrgus sp1 M_PL_072_02,Ruizantheda divaricata,Stenodynerus sp1 M_PL_072_02,Unidentified sp1 M_PL_072_02,Unidentified sp10 M_PL_072_02,Unidentified sp11 M_PL_072_02,Unidentified sp13 M_PL_072_02,Unidentified sp15 M_PL_072_02,Unidentified sp18 M_PL_072_02,Unidentified sp19 M_PL_072_02,Unidentified sp20 M_PL_072_02,Unidentified sp3 M_PL_072_02,Unidentified sp4 M_PL_072_02,Unidentified sp6 M_PL_072_02,Unidentified sp9 M_PL_072_02
Eupatorium squarrulosum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypericum connatum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oenothera indecora,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxalis articulata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senecio madagascariensis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodonaea viscosa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupatorium bupleurifolium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupatorium macrocephalum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habranthus andersoni,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habranthus gracilifolius,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypochaeris pampasica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathyrus nervosus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodophiala bifidum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senecio arechavaletae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senecio bravensis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sommerfeltia spinulosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevia satureiifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
